,timeframe,short,long,pnl,winning,losing,take_prof,stop_loss
270,5min,14,20,1018.2161141304343,275,259,0.0018478260869565217,0.0026086956521739132
271,5min,14,30,983.9279076086953,239,215,0.0018478260869565217,0.0026086956521739132
272,5min,14,50,779.6058423913042,190,151,0.0018478260869565217,0.0026086956521739132
273,5min,14,100,498.84866847826083,127,90,0.0018478260869565217,0.0026086956521739132
274,5min,20,30,389.5248097826086,208,181,0.0018478260869565217,0.0026086956521739132
275,5min,20,50,1097.5043206521736,175,114,0.0018478260869565217,0.0026086956521739132
276,5min,20,100,412.5075000000001,115,78,0.0018478260869565217,0.0026086956521739132
277,5min,30,50,703.6136413043477,138,91,0.0018478260869565217,0.0026086956521739132
278,5min,30,100,464.6947826086955,86,49,0.0018478260869565217,0.0026086956521739132
279,5min,50,100,753.2261956521735,86,41,0.0018478260869565217,0.0026086956521739132
280,5min,9,20,3648.707260869566,310,382,0.001956521739130435,0.0006956521739130435
281,5min,9,30,3263.8929347826092,265,297,0.001956521739130435,0.0006956521739130435
282,5min,9,50,2863.0147391304363,219,220,0.001956521739130435,0.0006956521739130435
283,5min,9,100,2195.665858695653,153,126,0.001956521739130435,0.0006956521739130435
284,5min,14,20,3589.23129347826,269,265,0.001956521739130435,0.0006956521739130435
285,5min,14,30,3212.754608695658,234,220,0.001956521739130435,0.0006956521739130435
286,5min,14,50,2656.4565217391305,188,153,0.001956521739130435,0.0006956521739130435
287,5min,14,100,1864.7466956521741,124,93,0.001956521739130435,0.0006956521739130435
288,5min,20,30,2804.1118043478277,205,184,0.001956521739130435,0.0006956521739130435
289,5min,20,50,2530.183173913045,171,118,0.001956521739130435,0.0006956521739130435
290,5min,20,100,1674.3111304347824,113,80,0.001956521739130435,0.0006956521739130435
291,5min,30,50,1966.3211847826096,132,97,0.001956521739130435,0.0006956521739130435
292,5min,30,100,1412.2822608695644,86,49,0.001956521739130435,0.0006956521739130435
293,5min,50,100,1400.1702717391313,84,43,0.001956521739130435,0.0006956521739130435
294,5min,9,20,3037.5346908212537,310,382,0.001956521739130435,0.0009082125603864735
295,5min,9,30,2682.0457657004813,265,297,0.001956521739130435,0.0009082125603864735
296,5min,9,50,2367.8101884057965,219,220,0.001956521739130435,0.0009082125603864735
297,5min,9,100,1897.926762077296,153,126,0.001956521739130435,0.0009082125603864735
298,5min,14,20,3059.0959987922706,269,265,0.001956521739130435,0.0009082125603864735
299,5min,14,30,2763.6544057971005,234,220,0.001956521739130435,0.0009082125603864735
300,5min,14,50,2346.3162367149766,188,153,0.001956521739130435,0.0009082125603864735
301,5min,14,100,1645.597719806763,124,93,0.001956521739130435,0.0009082125603864735
302,5min,20,30,2429.2405966183574,205,184,0.001956521739130435,0.0009082125603864735
303,5min,20,50,2285.738826086958,171,118,0.001956521739130435,0.0009082125603864735
304,5min,20,100,1510.7934396135267,113,80,0.001956521739130435,0.0009082125603864735
305,5min,30,50,1758.8021316425131,132,97,0.001956521739130435,0.0009082125603864735
306,5min,30,100,1307.9184589371976,86,49,0.001956521739130435,0.0009082125603864735
307,5min,50,100,1295.776421497585,84,43,0.001956521739130435,0.0009082125603864735
308,5min,9,20,2470.4261400966166,310,382,0.001956521739130435,0.0011207729468599035
309,5min,9,30,2271.8570024154583,265,297,0.001956521739130435,0.0011207729468599035
310,5min,9,50,1907.5665072463787,219,220,0.001956521739130435,0.0011207729468599035
311,5min,9,100,1669.1817620772954,153,126,0.001956521739130435,0.0011207729468599035
312,5min,14,20,2620.6165012077277,269,265,0.001956521739130435,0.0011207729468599035
313,5min,14,30,2411.0835458937213,234,220,0.001956521739130435,0.0011207729468599035
314,5min,14,50,2036.5978937198079,188,153,0.001956521739130435,0.0011207729468599035
315,5min,14,100,1461.392444444444,124,93,0.001956521739130435,0.0011207729468599035
316,5min,20,30,2093.6029734299514,205,184,0.001956521739130435,0.0011207729468599035
317,5min,20,50,2037.2212028985523,171,118,0.001956521739130435,0.0011207729468599035
318,5min,20,100,1353.4609468599037,113,80,0.001956521739130435,0.0011207729468599035
319,5min,30,50,1573.3705954106294,132,97,0.001956521739130435,0.0011207729468599035
320,5min,30,100,1205.7682125603862,86,49,0.001956521739130435,0.0011207729468599035
321,5min,50,100,1220.5665422705315,84,43,0.001956521739130435,0.0011207729468599035
322,5min,9,20,1992.5444927536232,310,382,0.001956521739130435,0.0013333333333333335
323,5min,9,30,1893.0024855072454,265,297,0.001956521739130435,0.0013333333333333335
324,5min,9,50,1549.0010000000013,219,220,0.001956521739130435,0.0013333333333333335
325,5min,9,100,1472.8097427536231,153,126,0.001956521739130435,0.0013333333333333335
326,5min,14,20,2237.0857717391305,269,265,0.001956521739130435,0.0013333333333333335
327,5min,14,30,2077.5691739130434,234,220,0.001956521739130435,0.0013333333333333335
328,5min,14,50,1796.919231884059,188,153,0.001956521739130435,0.0013333333333333335
329,5min,14,100,1257.9546956521735,124,93,0.001956521739130435,0.0013333333333333335
330,5min,20,30,1740.8802971014495,205,184,0.001956521739130435,0.0013333333333333335
331,5min,20,50,1836.755130434783,171,118,0.001956521739130435,0.0013333333333333335
332,5min,20,100,1192.128405797101,113,80,0.001956521739130435,0.0013333333333333335
333,5min,30,50,1395.527329710145,132,97,0.001956521739130435,0.0013333333333333335
334,5min,30,100,1108.5825217391302,86,49,0.001956521739130435,0.0013333333333333335
335,5min,50,100,1147.0506630434786,84,43,0.001956521739130435,0.0013333333333333335
