Time,Open,High,Low,Last,Change,Volume,Open Int
6/21/2020 18:35,9883,9892.75,9880,9890.5,8.25,297,N/A
6/21/2020 18:30,9883.5,9891,9876.25,9882.25,-0.75,464,N/A
6/21/2020 18:25,9884,9884,9880.25,9883,-2.25,122,N/A
6/21/2020 18:20,9876.75,9887.75,9875.25,9885.25,8.25,278,N/A
6/21/2020 18:15,9884.75,9885,9875.25,9877,-7.5,270,N/A
6/21/2020 18:10,9897,9897,9880,9884.5,-12.25,386,N/A
6/21/2020 18:05,9898,9899.75,9893.25,9896.75,-2.25,169,N/A
6/21/2020 18:00,9898.5,9901.5,9897,9899,2,228,N/A
6/21/2020 17:55,9884.75,9905.75,9884.75,9897,12.5,716,N/A
6/21/2020 17:50,9879,9887.75,9873.25,9884.5,6,388,N/A
6/21/2020 17:45,9885.5,9885.5,9878.5,9878.5,-5.75,240,N/A
6/21/2020 17:40,9889.25,9892.5,9884.25,9884.25,-3,161,N/A
6/21/2020 17:35,9892.75,9897,9886.5,9887.25,-5,314,N/A
6/21/2020 17:30,9890,9897.25,9884.5,9892.25,2.5,524,N/A
6/21/2020 17:25,9880.75,9889.75,9877.5,9889.75,9,402,N/A
6/21/2020 17:20,9887,9892,9874.5,9880.75,-7,739,N/A
6/21/2020 17:15,9864,9889,9861.25,9887.75,23.25,778,N/A
6/21/2020 17:10,9859.75,9871.75,9853.75,9864.5,4.75,634,N/A
6/21/2020 17:05,9885.5,9891.25,9843.5,9859.75,-26.5,1804,N/A
6/21/2020 17:00,9868,9898.5,9858.75,9886.25,-38.75,2730,N/A
6/19/2020 15:55,9927,9930,9925,9925,-2,323,N/A
6/19/2020 15:50,9940.5,9941.25,9925.5,9927,-13,455,N/A
6/19/2020 15:45,9940.25,9944,9934.5,9940,0.25,332,N/A
6/19/2020 15:40,9940.25,9943,9927.75,9939.75,0.25,883,N/A
6/19/2020 15:35,9933.25,9945,9929.75,9939.5,6,937,N/A
6/19/2020 15:30,9924,9948,9916.5,9933.5,14,2315,N/A
6/19/2020 15:10,9950.75,9956,9916,9919.5,-31.5,4652,N/A
6/19/2020 15:05,9961.25,9962.75,9945.75,9951,-10,5010,N/A
6/19/2020 15:00,9990.75,9992.5,9959.5,9961,-29.5,8239,N/A
6/19/2020 14:55,10006,10014.75,9990,9990.5,-15.25,10659,N/A
6/19/2020 14:50,9986.25,10018,9984,10005.75,19.5,8244,N/A
6/19/2020 14:45,10015,10020.75,9982,9986.25,-29,7661,N/A
6/19/2020 14:40,10000.5,10016.75,9999.75,10015.25,14.5,3661,N/A
6/19/2020 14:35,10013.25,10014.5,9997,10000.75,-13,3981,N/A
6/19/2020 14:30,10004.25,10013.75,10000.5,10013.75,10,2906,N/A
6/19/2020 14:25,10013,10016.25,10002.75,10003.75,-9,3442,N/A
6/19/2020 14:20,10012.5,10018.5,10004.25,10012.75,0.75,3617,N/A
6/19/2020 14:15,9994.5,10014.75,9994,10012,17.25,4948,N/A
6/19/2020 14:10,9975.75,9998,9964.25,9994.75,18.75,5922,N/A
6/19/2020 14:05,9984,9986.5,9973.5,9976,-7.75,3211,N/A
6/19/2020 14:00,9983.75,9988.75,9975.75,9983.75,0.5,3089,N/A
6/19/2020 13:55,9984,9993,9978.5,9983.25,-1,4238,N/A
6/19/2020 13:50,9969.25,9989.25,9966,9984.25,15,4993,N/A
6/19/2020 13:45,9970,9981.75,9966,9969.25,-1,5661,N/A
6/19/2020 13:40,9966,9974.75,9959.5,9970.25,4.25,3604,N/A
6/19/2020 13:35,9953.75,9969.5,9951.25,9966,11.75,3027,N/A
6/19/2020 13:30,9935.5,9959.25,9921.5,9954.25,19.25,6241,N/A
6/19/2020 13:25,9953.75,9957.5,9931.25,9935,-18.75,4289,N/A
6/19/2020 13:20,9932.75,9956.5,9931,9953.75,21.25,3874,N/A
6/19/2020 13:15,9940,9956.5,9927.25,9932.5,-7.5,5877,N/A
6/19/2020 13:10,9955.75,9956,9934.5,9940,-15.5,5171,N/A
6/19/2020 13:05,9966.75,9971.75,9935.25,9955.5,-11,6906,N/A
6/19/2020 13:00,9953,9978.25,9952.5,9966.5,13.75,6443,N/A
6/19/2020 12:55,9973.25,9984.25,9952,9952.75,-20.5,5049,N/A
6/19/2020 12:50,9974.75,9987.25,9968,9973.25,-1.5,4370,N/A
6/19/2020 12:45,9988.25,9993.25,9963.25,9974.75,-13.25,4195,N/A
6/19/2020 12:40,9985.5,9991.25,9979.75,9988,2.75,2838,N/A
6/19/2020 12:35,9955,9989.75,9954,9985.25,29,4768,N/A
6/19/2020 12:30,9975.75,9977.75,9952.5,9956.25,-20.25,3718,N/A
6/19/2020 12:25,9972.25,9982.25,9970,9976.5,4.5,3523,N/A
6/19/2020 12:20,9999.5,9999.75,9971.25,9972,-27.5,5198,N/A
6/19/2020 12:15,10011.75,10012.25,9993.75,9999.5,-12.25,4850,N/A
6/19/2020 12:10,10007,10020,10006,10011.75,5,4516,N/A
6/19/2020 12:05,10011.25,10016,10004.75,10006.75,-4.75,3456,N/A
6/19/2020 12:00,10019.5,10021.5,10006.25,10011.5,-8.25,3833,N/A
6/19/2020 11:55,10001,10023.25,9998.25,10019.75,18.75,4633,N/A
6/19/2020 11:50,9999,10006.25,9995.75,10001,2,4771,N/A
6/19/2020 11:45,9988.25,10001.5,9979.75,9999,9.5,5348,N/A
6/19/2020 11:40,9973.25,9991.5,9962,9989.5,16.75,4660,N/A
6/19/2020 11:35,9976.5,9987,9968.25,9972.75,-3.75,4091,N/A
6/19/2020 11:30,9975.25,9991.5,9971.5,9976.5,0.25,7292,N/A
6/19/2020 11:25,9948.25,9978,9942.5,9976.25,28,6194,N/A
6/19/2020 11:20,9948.75,9980.75,9936.5,9948.25,-0.75,10412,N/A
6/19/2020 11:15,9988.25,10000.75,9944.75,9949,-39.25,11728,N/A
6/19/2020 11:10,10030,10036.25,9988,9988.25,-41.5,7634,N/A
6/19/2020 11:05,10040,10042.75,10025.25,10029.75,-10,4538,N/A
6/19/2020 11:00,10051.75,10055,10039.75,10039.75,-12.25,3926,N/A
6/19/2020 10:55,10063.25,10063.25,10050,10052,-11.25,3179,N/A
6/19/2020 10:50,10064,10066.25,10059.5,10063.25,-1,2405,N/A
6/19/2020 10:45,10056,10067.5,10054.5,10064.25,8.25,3072,N/A
6/19/2020 10:40,10062.25,10065.25,10052.75,10056,-6.25,3499,N/A
6/19/2020 10:35,10070.75,10074,10059.25,10062.25,-8.25,3730,N/A
6/19/2020 10:30,10074.25,10076.75,10068.75,10070.5,-3.75,2761,N/A
6/19/2020 10:25,10076.5,10078.75,10068,10074.25,-1.75,3136,N/A
6/19/2020 10:20,10071.5,10078.5,10055,10076,4.5,6244,N/A
6/19/2020 10:15,10091.75,10091.75,10066.75,10071.5,-20,3201,N/A
6/19/2020 10:10,10088.5,10096.5,10082.25,10091.5,3,3230,N/A
6/19/2020 10:05,10089.75,10093,10085.25,10088.5,-1.25,2503,N/A
6/19/2020 10:00,10076.75,10090.25,10075,10089.75,13,5187,N/A
6/19/2020 9:55,10081.5,10081.75,10069.25,10076.75,-4.75,3588,N/A
